# Program:featureCounts v2.0.1; Command:"featureCounts" "--verbose" "-a" "./PROKKA_06012021.gtf" "-t" "CDS" "-o" "final_featureCounts.txt" "./sorted_bam/AA24-1.sorted.bam" "./sorted_bam/AA24-2.sorted.bam" "./sorted_bam/AA24-3.sorted.bam" "./sorted_bam/AA3-1.sorted.bam" "./sorted_bam/AA3-2.sorted.bam" "./sorted_bam/AA3-3.sorted.bam" "./sorted_bam/AA72-1.sorted.bam" "./sorted_bam/AA72-2.sorted.bam" "./sorted_bam/AA72-3.sorted.bam" "./sorted_bam/AAF24-1.sorted.bam" "./sorted_bam/AAF24-2.sorted.bam" "./sorted_bam/AAF24-3.sorted.bam" "./sorted_bam/AAF3-1.sorted.bam" "./sorted_bam/AAF3-2.sorted.bam" "./sorted_bam/AAF3-3.sorted.bam" "./sorted_bam/AAF72-1.sorted.bam" "./sorted_bam/AAF72-2.sorted.bam" "./sorted_bam/AAF72-3.sorted.bam" "./sorted_bam/ABBL18TSB.sorted.bam" "./sorted_bam/ABGA24-1.sorted.bam" "./sorted_bam/ABGA24-2.sorted.bam" "./sorted_bam/ABGA24-3.sorted.bam" "./sorted_bam/ABGA3-1.sorted.bam" "./sorted_bam/ABGA3-2.sorted.bam" "./sorted_bam/ABGA3-3.sorted.bam" "./sorted_bam/ABGA72-1.sorted.bam" "./sorted_bam/ABGA72-2.sorted.bam" "./sorted_bam/ABGA72-3.sorted.bam" "./sorted_bam/ABGW24-1.sorted.bam" "./sorted_bam/ABGW24-2.sorted.bam" "./sorted_bam/ABGW24-3.sorted.bam" "./sorted_bam/ABGW3-1.sorted.bam" "./sorted_bam/ABGW3-2.sorted.bam" "./sorted_bam/ABGW3-3.sorted.bam" "./sorted_bam/ABGW72-1.sorted.bam" "./sorted_bam/ABGW72-2.sorted.bam" "./sorted_bam/ABGW72-3.sorted.bam" "./sorted_bam/AVEG24-1.sorted.bam" "./sorted_bam/AVEG24-2.sorted.bam" "./sorted_bam/AVEG24-3.sorted.bam" "./sorted_bam/AVEG3-1.sorted.bam" "./sorted_bam/AVEG3-2.sorted.bam" "./sorted_bam/AVEG3-3.sorted.bam" "./sorted_bam/AVEG72-1.sorted.bam" "./sorted_bam/AVEG72-2.sorted.bam" "./sorted_bam/AVEG72-3.sorted.bam" "./sorted_bam/AW24-1.sorted.bam" "./sorted_bam/AW24-2.sorted.bam" "./sorted_bam/AW24-3.sorted.bam" "./sorted_bam/AW3-1.sorted.bam" "./sorted_bam/AW3-2.sorted.bam" "./sorted_bam/AW3-3.sorted.bam" "./sorted_bam/AW72-1.sorted.bam" "./sorted_bam/AW72-2.sorted.bam" "./sorted_bam/AW72-3.sorted.bam" "-F" "GTF" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	./sorted_bam/AA24-1.sorted.bam	./sorted_bam/AA24-2.sorted.bam	./sorted_bam/AA24-3.sorted.bam	./sorted_bam/AA3-1.sorted.bam	./sorted_bam/AA3-2.sorted.bam	./sorted_bam/AA3-3.sorted.bam	./sorted_bam/AA72-1.sorted.bam	./sorted_bam/AA72-2.sorted.bam	./sorted_bam/AA72-3.sorted.bam	./sorted_bam/AAF24-1.sorted.bam	./sorted_bam/AAF24-2.sorted.bam	./sorted_bam/AAF24-3.sorted.bam	./sorted_bam/AAF3-1.sorted.bam	./sorted_bam/AAF3-2.sorted.bam	./sorted_bam/AAF3-3.sorted.bam	./sorted_bam/AAF72-1.sorted.bam	./sorted_bam/AAF72-2.sorted.bam	./sorted_bam/AAF72-3.sorted.bam	./sorted_bam/ABBL18TSB.sorted.bam	./sorted_bam/ABGA24-1.sorted.bam	./sorted_bam/ABGA24-2.sorted.bam	./sorted_bam/ABGA24-3.sorted.bam	./sorted_bam/ABGA3-1.sorted.bam	./sorted_bam/ABGA3-2.sorted.bam	./sorted_bam/ABGA3-3.sorted.bam	./sorted_bam/ABGA72-1.sorted.bam	./sorted_bam/ABGA72-2.sorted.bam	./sorted_bam/ABGA72-3.sorted.bam	./sorted_bam/ABGW24-1.sorted.bam	./sorted_bam/ABGW24-2.sorted.bam	./sorted_bam/ABGW24-3.sorted.bam	./sorted_bam/ABGW3-1.sorted.bam	./sorted_bam/ABGW3-2.sorted.bam	./sorted_bam/ABGW3-3.sorted.bam	./sorted_bam/ABGW72-1.sorted.bam	./sorted_bam/ABGW72-2.sorted.bam	./sorted_bam/ABGW72-3.sorted.bam	./sorted_bam/AVEG24-1.sorted.bam	./sorted_bam/AVEG24-2.sorted.bam	./sorted_bam/AVEG24-3.sorted.bam	./sorted_bam/AVEG3-1.sorted.bam	./sorted_bam/AVEG3-2.sorted.bam	./sorted_bam/AVEG3-3.sorted.bam	./sorted_bam/AVEG72-1.sorted.bam	./sorted_bam/AVEG72-2.sorted.bam	./sorted_bam/AVEG72-3.sorted.bam	./sorted_bam/AW24-1.sorted.bam	./sorted_bam/AW24-2.sorted.bam	./sorted_bam/AW24-3.sorted.bam	./sorted_bam/AW3-1.sorted.bam	./sorted_bam/AW3-2.sorted.bam	./sorted_bam/AW3-3.sorted.bam	./sorted_bam/AW72-1.sorted.bam	./sorted_bam/AW72-2.sorted.bam	./sorted_bam/AW72-3.sorted.bam
LJGBIDFA_00022	NODE_1_length_243214_cov_43.488979	25127	25714	+	588	79	322	293	470	733	418	198	211	273	1562	370	1193	1522	1387	1573	1605	1309	1666	1927	738	1093	1078	1241	989	964	1126	1178	1523	943	667	927	990	1285	1138	1001	1382	1009	584	383	258	584	617	268	242	272	547	944	213	473	601	643	561	324	236	526
LJGBIDFA_00023	NODE_1_length_243214_cov_43.488979	25931	26494	-	564	24	69	122	103	52	78	25	39	68	376	72	311	174	578	936	538	688	836	266	132	407	194	143	287	124	150	375	660	104	145	325	185	587	270	327	625	173	211	111	87	111	90	89	124	78	238	812	196	356	171	133	150	288	292	324
LJGBIDFA_00024	NODE_1_length_243214_cov_43.488979	27103	29157	-	2055	263	991	965	1752	2084	1768	502	489	934	4569	789	3850	4744	5007	6836	6047	5878	6757	1716	1048	3040	2590	3796	3364	1556	2729	3758	6043	2428	1332	3208	2605	5477	3916	2499	4761	2369	1474	835	569	1386	1406	724	737	555	1772	8738	3158	3648	4393	4796	4987	2679	2861	4087
LJGBIDFA_00025	NODE_1_length_243214_cov_43.488979	29488	30504	-	1017	887	2293	1624	2418	3186	1994	1238	1516	1464	1798	5498	1291	11218	5955	2441	2429	3696	6351	12436	10248	7545	3847	13456	4805	4160	4456	4706	3375	2306	1190	2038	3374	4842	5108	2797	4098	2776	8215	6240	3848	7625	9499	7446	5023	3236	8079	3140	1245	2224	2408	1878	2714	2168	1700	1803
LJGBIDFA_00026	NODE_1_length_243214_cov_43.488979	30537	31028	-	492	674	871	1244	1079	1170	1667	980	909	1657	1240	2837	1080	9101	2687	1520	1075	1779	2694	5976	3640	4591	1723	5493	3230	1155	1498	1637	1254	896	544	744	1560	2589	1958	1199	1802	720	2774	1947	1314	2263	2890	2480	2338	1717	4443	1977	1115	843	917	711	991	954	867	759
LJGBIDFA_00027	NODE_1_length_243214_cov_43.488979	31028	32752	-	1725	1281	4177	2992	5089	5147	4424	2246	2342	3014	6161	8492	4607	29911	11286	6099	6404	7499	12311	15795	14568	13295	8013	19130	7505	5604	8405	10497	7913	6565	3889	6656	8140	13571	11448	7207	10734	7716	12087	9765	6285	12019	15379	12184	8575	5589	12955	6584	2173	3886	5513	4662	5819	5854	4192	3698
LJGBIDFA_00028	NODE_1_length_243214_cov_43.488979	33257	33592	+	336	21	88	73	81	57	100	84	46	77	310	58	340	210	266	323	341	294	349	199	73	186	214	194	335	170	277	246	227	185	47	239	304	246	274	184	176	91	102	52	58	64	68	26	42	55	121	396	120	137	109	96	85	85	74	125
LJGBIDFA_00029	NODE_1_length_243214_cov_43.488979	33779	36403	+	2625	870	1504	1317	1892	2366	1479	973	1451	1484	3117	1588	2287	2651	4382	5092	4359	4951	7001	10558	1520	4799	2893	5386	4135	2020	3420	4633	5704	1925	1621	1740	2886	5407	4281	2739	4797	2283	4860	2556	1703	2700	3178	2255	2621	1913	5312	3885	1400	2204	2757	2014	2608	2323	1838	2260
LJGBIDFA_00030	NODE_1_length_243214_cov_43.488979	36431	36940	+	510	7757	11907	9551	4498	2853	4535	6897	12730	10520	5459	8823	3551	5247	4637	3806	4522	3907	4383	2704	5526	4854	4387	4053	3550	2672	4109	5188	4128	4002	2502	4075	4782	3125	5636	3242	3493	4327	8970	8157	9608	6954	8215	4602	6066	8400	7029	1448	459	897	1978	1585	1424	1008	776	828
LJGBIDFA_00031	NODE_1_length_243214_cov_43.488979	36960	37949	+	990	1401	2770	2418	1603	1134	2021	1614	2426	2647	3292	2875	2987	2213	3331	3870	3697	4039	4578	2498	1865	2696	2071	2734	2489	930	2202	3173	3672	1526	854	2055	1848	2314	2248	1490	2020	1377	3115	2522	2129	1694	1787	1094	1755	2159	3331	3965	991	1504	1547	1014	1400	991	781	1597
LJGBIDFA_00032	NODE_1_length_243214_cov_43.488979	38057	39397	+	1341	775	1401	1165	1109	932	1303	757	1086	1354	1823	2942	1050	2221	3489	5278	3568	4578	5149	5530	1882	5069	4597	4901	7289	2389	7390	6092	5976	1304	944	1118	1581	2813	1884	2258	4233	1570	2045	1147	1560	1055	1074	699	1121	1054	2372	5875	1742	2711	1880	1283	1975	2196	1275	2194
LJGBIDFA_00033	NODE_1_length_243214_cov_43.488979	39400	41394	+	1995	1097	2004	1308	1102	1060	992	969	1740	1886	1605	5469	749	2101	3211	5097	3446	4847	5780	5694	3128	4872	3384	3738	4883	1683	4954	5452	6013	1060	795	1008	1141	2858	1741	2262	3687	1123	2718	2030	3105	1293	1575	935	1521	1688	3065	8047	2483	4628	2287	1552	2662	3489	2434	4152
LJGBIDFA_00034	NODE_1_length_243214_cov_43.488979	41405	42811	+	1407	764	1289	944	747	789	765	513	1053	1218	889	3384	465	1339	1556	2232	1611	2137	2719	3384	1891	2352	1313	1805	1654	665	1679	2562	2860	874	503	527	698	1567	1169	1268	2134	723	1834	1414	2137	914	1218	588	998	1229	1946	3670	1088	2563	1203	1025	1420	2900	1642	2735
LJGBIDFA_00035	NODE_1_length_243214_cov_43.488979	42881	43684	-	804	78	311	159	677	738	589	46	214	267	815	274	612	1926	1660	778	988	794	1017	4032	445	828	834	2155	1016	636	977	973	991	730	647	507	877	1638	1241	703	1086	883	487	263	235	641	595	395	269	207	471	601	511	556	1723	2203	1980	1482	1358	820
LJGBIDFA_00036	NODE_1_length_243214_cov_43.488979	43821	44552	-	732	2724	7259	4022	6393	7935	6470	2387	5497	4885	6638	5438	4385	10415	7018	4725	6690	5452	6425	11207	7310	5449	6123	6599	4026	4952	6743	6126	6325	5400	2987	5974	6017	4916	7517	3961	5819	5586	4918	4689	5302	4752	5011	2887	3124	3835	3587	4313	2681	4714	10345	12646	12560	2385	1862	2279
LJGBIDFA_00037	NODE_1_length_243214_cov_43.488979	44708	45274	-	567	795	2050	2311	2128	1482	1959	884	1627	2203	7953	1053	4287	1818	7863	8121	11577	8578	8655	2777	813	4975	6647	4294	6301	5287	8327	5690	8201	3057	4811	2840	5299	4848	3838	3903	4873	2902	2000	1051	701	1262	1055	635	878	792	2123	1976	819	1301	2104	1242	1257	1081	769	1190
LJGBIDFA_00038	NODE_1_length_243214_cov_43.488979	45400	46458	+	1059	139	316	309	416	500	422	210	275	360	834	210	640	808	982	936	914	1001	1237	2188	237	840	637	950	896	422	666	724	949	564	337	431	689	1022	684	515	859	437	514	259	201	442	376	251	329	214	586	835	298	488	644	539	649	400	389	432
LJGBIDFA_00039	NODE_1_length_243214_cov_43.488979	46556	46972	+	417	2532	4750	3233	1525	1495	1193	1982	4440	4241	1512	2151	991	2084	1851	1428	1723	1647	1870	5831	1963	2229	2061	3164	1810	1380	1992	2064	2255	1785	1293	1128	1859	2269	2075	1969	2100	1409	3187	2916	5015	2248	2265	1182	1521	3546	3231	1915	2899	4356	2556	3306	2792	7888	5395	1561
LJGBIDFA_00040	NODE_1_length_243214_cov_43.488979	46984	47241	+	258	2901	5087	3825	1634	1475	1230	2207	5200	5650	1726	2512	1392	2291	2531	1909	2277	2130	2311	7193	2438	2515	1879	2887	1993	1795	2371	2371	2601	1942	1424	961	2009	2400	2454	2341	2223	1551	3924	3041	4817	2501	2618	1313	1865	3903	3491	1828	2915	4060	2068	2503	2408	9235	6886	1547
LJGBIDFA_00041	NODE_1_length_243214_cov_43.488979	47269	47727	+	459	2744	6132	3849	1386	1317	1028	3011	4946	4956	1553	2666	854	2297	2635	1521	1988	1833	2318	9960	2566	2285	1793	2799	1716	942	1914	2055	1995	1539	1236	785	1615	1961	1884	1332	1852	1169	3692	3326	5196	2451	2695	1283	1732	3437	3491	1933	2561	3413	1735	2234	1947	8403	6445	1586
LJGBIDFA_00042	NODE_1_length_243214_cov_43.488979	47795	48451	-	657	304	643	716	545	394	731	426	549	882	1100	429	960	1123	1114	972	1028	922	1049	651	327	721	935	755	835	574	845	824	897	847	522	1044	1071	767	1104	685	928	803	271	206	265	323	281	142	158	297	331	2466	1025	1390	1262	1061	1014	705	648	1074
LJGBIDFA_00043	NODE_1_length_243214_cov_43.488979	48569	49978	-	1410	1086	2403	2240	2013	1406	1690	1163	2098	2402	5852	1701	3080	2065	8278	11366	10530	10475	12170	9499	1280	4788	4131	3972	4616	3725	5136	5506	9418	2433	2094	2006	3027	7220	4022	3981	7031	2553	5134	2603	2078	1970	1985	1497	2328	2152	6028	4479	1826	3118	3318	2558	2903	6411	4538	2954
LJGBIDFA_00044	NODE_1_length_243214_cov_43.488979	50166	51311	-	1146	2963	7301	4880	6834	6175	5969	3147	5782	5437	8353	6364	4949	9866	11497	13020	11189	13139	15313	11866	6003	8388	7911	10234	6576	5492	8239	9173	11117	5412	3949	5018	6503	10369	8186	5438	9382	6299	9480	6373	5879	6563	6213	4080	5367	5127	10070	9095	3647	7355	7862	7198	7611	13494	8237	7652
LJGBIDFA_00045	NODE_1_length_243214_cov_43.488979	51311	52009	-	699	269	495	560	708	821	637	290	431	474	1381	912	780	1178	2804	4893	2903	4171	4934	5019	899	1811	1292	1777	1583	799	1296	1785	2786	718	424	573	1059	1925	1384	889	1952	612	2192	957	645	809	960	746	1138	752	3127	2943	1050	1841	1196	890	1190	3042	1338	1981
LJGBIDFA_00046	NODE_1_length_243214_cov_43.488979	52038	53330	-	1293	580	1320	1297	1292	1414	1154	943	1217	1197	2317	1602	1226	1829	5611	9768	6085	8728	10346	8587	1636	3646	2027	2948	2781	1545	2559	3687	6306	1481	749	1381	1763	3330	2508	2059	3640	1344	4410	1914	1175	1390	1588	1132	1970	1615	5470	8228	3281	5210	3175	1953	3266	6458	3414	4872
LJGBIDFA_00047	NODE_1_length_243214_cov_43.488979	53327	54442	-	1116	1145	3014	2304	2534	2718	2192	1534	2306	2424	5045	2912	1901	3522	11482	15169	12547	15064	18085	8221	2907	5349	4226	4723	4288	2693	4473	6559	10613	2694	1673	2663	3094	5342	4542	2861	5834	2790	6117	2845	2408	2367	2655	1668	2738	2506	6870	9125	3484	5815	5655	4502	5715	8340	4393	5878
